1	Nachbar	Nachbar	N	NN	_|_|Sg	0	root	230	230
10	diese	diese	A	PDAT	Fem|_|Pl	11	det	_	_
11	Entwickelungen	Entwickelung	N	NN	Fem|_|Pl	14	obja	_	_
12	und	und	K	KON	_	11	kon	_	_
13	Lobpreisungen	Lobpreisung	N	NN	Fem|_|Pl	12	cj	_	_
14	anhören	anhören	V	VVINF	_	16	aux	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	müssen	müssen	V	VMINF	_	5	subjc	_	_
17	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Aber	aber	K	KON	_	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
5	Kunstenthusiasmus	Kunstenthusiasmus	N	NN	Masc|Nom|Sg	6	subj	_	_
6	sucht	suchen	V	VVFIN	3|Sg|Pres|Ind	3	cj	_	_
7	sich	sie	P	PRF	3|_|_	6	obja	_	_
8	doch	doch	A	ADV	_	9	adv	_	_
9	auszusprechen	aussprechen	V	VVIZU	_	6	obji	_	_
10	.	.	$	$.	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	O	O	N	NN	Neut|_|_	0	root	288	288
4	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
5	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
6	nun	nun	A	ADV	_	10	adv	_	_
7	gleich	gleich	A	ADJD	Pos|	10	pred	_	_
8	zu	zu	P	APPR	Dat	10	pp	_	_
9	Ende	Ende	N	NN	Neut|Dat|Sg	8	pn	43	43
10	sein	sein	V	VAINF	_	5	aux	_	_
11	!	!	$	$.	_	0	root	_	_

1	Fassen	fassen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	577	577
3	an	an	P	PTKVZ	_	1	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	bester	gut	A	ADJA	Sup|Masc|Nom|Sg|St|	6	attr	30	30
6	Herr	Herr	N	NN	Masc|Nom|Sg	1	vok	30	30
7	Leutner	Leutner	N	NE	Masc|Nom|Sg	6	app	30	30
8	;	;	$	$.	_	0	root	_	_
9	Herr	Herr	N	NN	Masc|_|Sg	12	vok	3	3
10	Müller	Müller	N	NE	Masc|_|Sg	9	app	3	3
11	,	,	$	$,	_	0	root	_	_
12	halten	halten	V	VVFIN	3|Pl|Pres|_	19	neb	_	_
13	Sie	sie	P	PPER	3|Pl|_|Nom	12	subj	577	577
14	ihm	er	P	PPER	3|Sg|_|Dat	12	objd	1	1
15	den	die	A	ART	Def|Masc|Acc|Sg	16	det	111	111
16	Kopf	Kopf	N	NN	Masc|Acc|Sg	12	obja	111	111
17	,	,	$	$,	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	1	1
19	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
20	hier	hier	A	ADV	_	19	adv	_	_
21	eine	eine	A	ART	Indef|Fem|_|Sg	22	det	_	_
22	Maschine	Maschine	N	NN	Fem|_|Sg	19	obja	_	_
23	,	,	$	$,	_	0	root	_	_
24	die	die	P	PRELS	_|Nom|Pl	28	subj	578	578
25	ihm	er	P	PPER	3|Sg|_|Dat	28	objd	111	111
26	den	die	A	ART	Def|Masc|Acc|Sg	27	det	426	426
27	Mund	Mund	N	NN	Masc|Acc|Sg	28	obja	426	426
28	schließen	schließen	V	VVFIN	3|Pl|Pres|_	22	rel	_	_
29	und	und	K	KON	_	0	root	_	_
30	das	die	A	ART	Def|Neut|_|Sg	31	det	_	_
31	Sprechen	Sprech	N	NN	Neut|_|Sg	32	obja	_	_
32	untersagen	untersagen	V	VVINF	_	29	cj	_	_
33	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	578	578
4	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	_
5	doch	doch	A	ADV	_	4	adv	_	_
6	nimmermehr	nimmermehr	A	ADV	_	4	adv	_	_
7	-	-	$	$(	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	So	so	A	ADV	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	nun	nun	A	ADV	_	6	adv	_	_
6	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	ihm	er	P	PPER	3|Sg|_|Dat	6	objd	1	1
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	579	579
9	Knebel	Knebel	N	NN	Masc|Nom|Sg	6	subj	579	579
10	schon	schon	A	ADV	_	6	adv	_	_
11	im	in	P	APPRART	Dat	6	objp	_	_
12	Munde	Mund	N	NN	Masc|Dat|Sg	11	pn	_	_
13	;	;	$	$.	_	0	root	_	_
14	Herr	Herr	N	NN	Masc|_|Sg	17	vok	2	2
15	Fischer	Fischer	N	NE	Masc|_|Sg	14	app	2	2
16	,	,	$	$,	_	0	root	_	_
17	lassen	lassen	V	VVFIN	3|Pl|Pres|_	24	neb	_	_
18	Sie	sie	P	PPER	3|Pl|_|Nom	17	subj	577	577
19	die	die	A	ART	Def|Fem|_|Sg	20	det	_	_
20	Feder	Feder	N	NN	Fem|_|Sg	17	obja	_	_
21	zuschnappen	zuschnappen	V	VVINF	_	17	obji	_	_
22	,	,	$	$,	_	0	root	_	_
23	so	so	A	ADV	_	24	adv	_	_
24	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
25	die	die	A	ART	Def|Fem|Nom|Sg	26	det	312	312
26	Sache	Sache	N	NN	Fem|Nom|Sg	24	subj	312	312
27	gemacht	machen	V	VVPP	_	24	aux	_	_
28	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	577	577
2	knebeln	knebeln	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	579	579
4	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	doch	doch	A	ADV	_	4	adv	_	_
6	himmelschreiend	himmelschreiend	A	ADJD	Pos|<PPRES	4	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	0	root	_	_
9	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
10	Kunstke-	Kunstke-	T	TRUNC	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Kunstkenner	Kunstkenner	N	NN	Masc|_|_	6	obja	_	_
4	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	1	1
6	sagen	sagen	V	VVINF	_	4	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	jetzt	jetzt	A	ADV	_	4	adv	_	_
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	doch	doch	A	ADV	_	10	adv	_	_
6	von	von	P	APPR	_	10	pp	_	_
7	der	die	A	ART	Def|Fem|_|Sg	8	det	550	550
8	Seite	Seite	N	NN	Fem|_|Sg	6	pn	550	550
9	Ruhe	Ruhe	N	NN	Fem|Nom|Sg	4	subj	459	459
10	sein	sein	V	VAINF	_	4	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	sehn	sehn	V	VVFIN	3|_|_|_	0	root	_	_
3	Sie	sie	P	PPER	3|_|_|Nom	2	subj	459	459
4	hübsch	hübsch	A	ADJD	Pos|	5	adv	_	_
5	still	still	A	ADJD	Pos|	2	adv	_	_
6	und	und	K	KON	_	5	kon	_	_
7	bedächtlich	bedächtlich	A	ADJD	Pos|	6	cj	_	_
8	zu	zu	P	PTKVZ	_	2	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Freies	frei	A	ADJA	Pos|Neut|_|Sg|St|	2	attr	_	_
2	Feld	Feld	N	NN	Neut|_|Sg	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	mit	mit	P	APPR	Dat	1	pp	84	84
3	Tornister	Tornister	N	NN	Masc|Dat|Sg	2	pn	84	84
4	und	und	K	KON	_	3	kon	580)	580)
5	Sack	Sack	N	NN	Masc|Dat|Sg	4	cj	581	581
6	:	\:	$	$.	_	0	root	_	_
7	Ich	ich	P	PPER	1|Sg|_|Nom	8	subj	582	582
8	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	283	283
10	Jagd	Jagd	N	NN	Fem|Dat|Sg	12	objd	283	283
11	ganz	ganz	A	ADV	_	12	adv	_	_
12	gewohnt	wohnen	V	VVPP	_	13	aux	_	_
13	worden	werden	V	VAPP	_	8	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	alle	alle	A	PIDAT	Masc|_|Pl	16	det	_	_
16	Tage	Tag	N	NN	Masc|_|Pl	17	zeit	_	_
17	fang	fang	V	VVFIN	1|Sg|_|_	8	kon	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	582	582
19	Rebhühner	Rebhuhn	N	NN	Neut|_|Pl	17	obja	596	596
20	,	,	$	$,	_	0	root	596	596
21	Kaninchen	Kaninchen	N	NN	Neut|_|_	19	kon	596	596
22	und	und	K	KON	_	21	kon	_	_
23	dergleichen	dergleichen	P	PIS	Neut|_|Pl	22	cj	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	17	kon	_	_
26	die	die	A	ART	Def|Neut|Nom|Pl	28	det	_	_
27	lieben	lieb	A	ADJA	Pos|Neut|Nom|Pl|Wk|	28	attr	_	_
28	Tierchen	Tierchen	N	NN	Neut|Nom|Pl	29	subj	_	_
29	kommen	kommen	V	VVFIN	3|Pl|Pres|_	25	cj	_	_
30	auch	auch	A	ADV	_	29	adv	_	_
31	immer	immer	A	ADV	_	32	adv	_	_
32	mehr	mehr	A	ADV	_	29	adv	_	_
33	in	in	P	APPR	Acc	29	objp	_	_
34	die	die	A	ART	Def|Fem|Acc|Sg	35	det	_	_
35	Übung	Übung	N	NN	Fem|Acc|Sg	33	pn	_	_
36	,	,	$	$,	_	0	root	_	_
37	sich	sie	P	PRF	3|_|_	38	obja	_	_
38	fangen	fangen	V	VVINF	_	40	obji	_	_
39	zu	zu	P	PTKZU	_	40	part	_	_
40	lassen	lassen	V	VVINF	_	29	obji	_	_
41	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	1	1
3	spreitet	spreitet	V	VVFIN	3|Sg|_|_	0	root	_	_
4	seinen	seine	A	PPOSAT	Masc|_|Sg	5	det	1	1
5	Sack	Sack	N	NN	Masc|_|Sg	3	obja	_	_
6	aus	aus	P	PTKVZ	_	3	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Zeit	Zeit	N	NN	Fem|Nom|Sg	6	subj	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	den	die	A	ART	Def|Fem|Dat|Pl	5	det	_	_
5	Nachtigallen	Nachtigall	N	NN	Fem|Dat|Pl	3	pn	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	nun	nun	A	ADV	_	6	adv	_	_
8	vorbei	vorbei	A	ADV	_	6	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	582	582
11	höre	hören	V	VVFIN	1|Sg|Pres|_	6	kon	_	_
12	keine	keine	A	PIAT	_|_|_	13	det	_	_
13	einzige	einzig	A	ADJA	_|_|_	11	obja	_	_
14	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	3	det	_	_
2	beiden	beide	A	PIDAT	_|Nom|Pl	3	attr	_	_
3	Liebenden	Liebende	N	NN	_|Nom|Pl	4	subj	_	_
4	treten	treten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	auf	auf	P	PTKVZ	_	4	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Geh	Geh	N	NE	_	6	vok	583	583
4	,	,	$	$,	_	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	6	subj	585	585
6	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
7	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	586	586
8	zur	zu	P	APPRART	Dat	6	pp	_	_
9	Last	Last	N	NN	Fem|Dat|Sg	8	pn	584	584
10	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	584	584
2	:	\:	$	$.	_	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	4	subj	585	585
4	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	586	586
6	zuwider	zuwider	P	PTKVZ	_	4	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Eine	eine	A	ART	Indef|Fem|_|Sg	5	det	587	587
4	schöne	schön	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	587	587
5	Liebe	Liebe	N	NN	Fem|_|Sg	0	root	587	587
6	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	587	587
2	:	\:	$	$.	_	0	root	_	_
3	Jämmerlicher	jämmerlich	A	ADJA	Pos|Masc|_|_|St|	4	attr	_	_
4	Heuchler	Heuchler	N	NN	Masc|_|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	wie	wie	P	PWAV	_	7	adv	_	_
7	hast	haben	V	VAFIN	2|Sg|Pres|Ind	4	objc	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	588	588
9	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	367	367
10	betrogen	betrügen	V	VVPP	_	7	aux	_	_
11	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Wo	Wo	P	PWAV	_	4	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	denn	denn	A	ADV	_	9	adv	_	_
6	deine	deine	A	PPOSAT	Fem|Nom|Sg	8	det	588	588
7	unendliche	unendlich	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	589	589
8	Zärtlichkeit	Zärtlichkeit	N	NN	Fem|Nom|Sg	4	subj	589	589
9	geblieben	bleiben	V	VVPP	_	4	aux	_	_
10	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	589	589
2	:	\:	$	$.	_	0	root	_	_
3	Und	und	K	KON	_	0	root	_	_
4	deine	deine	A	PPOSAT	_|_|_	5	det	588	588
5	Treue	Treue	N	NN	_|_|_	3	cj	_	_
6	?	?	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
