1	Euch	ihr	P	PPER	2|Pl|_|_	2	obja	731	731
9	stellen	stellen	V	VVINF	_	2	obji	_	_
10	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	kommt	kommen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	singend	singen	A	ADJD	_|<PPRES	2	adv	_	_
4	und	und	K	KON	_	3	kon	_	_
5	trillernd	trillern	A	ADJD	_|<PPRES	4	cj	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	K	KOKOM	_	5	par	_	_
8	damals	damals	A	ADV	_	7	cj	_	_
9	,	,	$	$,	_	0	root	_	_
10	als	als	K	KOUS	_	19	konj	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	328	328
12	Zufall	Zufall	N	NN	Masc|Nom|Sg	19	subj	328	328
13	mich	ich	P	PPER	1|Sg|_|Acc	19	obja	740	740
14	zum	zu	P	APPRART	Dat	19	objp	_	_
15	Zuschauer	Zuschauer	N	NN	_|Dat|Sg	14	pn	_	_
16	von	von	P	APPR	_	15	pp	_	_
17	Cardillacs	Cardillacs	N	NE	_|Gen|_	18	gmod	310	310
18	Mordtat	Mordtat	N	NN	Fem|_|Sg	16	pn	_	_
19	machte	machen	V	VVFIN	3|Sg|Past|_	2	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	ein	eine	A	ART	Indef|Masc|Nom|Sg	22	det	741	741
22	Offizier	Offizier	N	NN	Masc|Nom|Sg	0	root	741	741
23	bei	bei	P	APPR	Dat	22	pp	741	741
24	mir	ich	P	PPER	1|Sg|_|Dat	23	pn	740	740
25	vorüber	vorüber	A	ADV	_	24	adv	_	_
26	,	,	$	$,	_	0	root	_	_
27	ohne	ohne	K	KOUI	_	30	konj	_	_
28	mich	ich	P	PPER	1|Sg|_|Acc	30	obja	740	740
29	zu	zu	P	PTKZU	_	30	part	_	_
30	gewahren	gewahren	V	VVINF	_	0	root	_	_
31	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	in	in	P	APPR	Dat	5	pp	_	_
3	demselben	dieselbe	A	PDAT	Masc|Dat|Sg	4	det	22	22
4	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	2	pn	22	22
5	springt	springen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	_	_
7	schwarze	schwarz	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	_
8	Gestalt	Gestalt	N	NN	Fem|Nom|Sg	5	subj	_	_
9	hervor	hervor	P	PTKVZ	_	5	avz	_	_
10	und	und	K	KON	_	5	kon	_	_
11	fällt	fallen	V	VVFIN	_|_|Pres|Ind	10	cj	_	_
12	über	über	P	APPR	Acc	11	objp	_	_
13	ihn	er	P	PPER	3|Sg|Masc|Acc	12	pn	22	22
14	her	her	P	PTKVZ	_	11	avz	_	_
15	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	Cardillac	Cardillac	N	NN	_|Nom|_	2	pred	262	262
4	.	.	$	$.	_	0	root	_	_

1	Diesen	diese	A	PDAT	Masc|Acc|Sg	2	det	111	111
2	Mord	Mord	N	NN	Masc|Acc|Sg	5	obja	111	111
3	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	740	740
5	hindern	hindern	V	VVINF	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	mit	mit	P	APPR	Dat	11	pp	_	_
8	einem	eine	A	ART	Indef|Masc|Dat|Sg	10	det	_	_
9	lauten	laut	A	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	_	_
10	Schrei	Schrei	N	NN	Masc|Dat|Sg	7	pn	_	_
11	bin	sein	V	VAFIN	1|Sg|Pres|Ind	3	kon	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	740	740
13	in	in	P	APPR	Dat	11	pp	_	_
14	zwei	zwei	C	CARD	_	17	attr	_	_
15	-	-	$	$(	_	0	root	_	_
16	drei	drei	C	CARD	_	14	kon	_	_
17	Sätzen	Satz	N	NN	Masc|Dat|Pl	13	pn	_	_
18	zur	zu	P	APPRART	Dat	11	pp	_	_
19	Stelle	Stelle	N	NN	Fem|Dat|Sg	18	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Nicht	nicht	P	PTKNEG	_	4	adv	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Offizier	Offizier	N	NN	Masc|Nom|Sg	0	root	_	_
5	-	-	$	$(	_	0	root	_	_
6	Cardillac	Cardillac	N	NE	_|Nom|Sg	7	subj	262	262
7	sinkt	sinken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	zum	zu	P	APPRART	Dat	10	pp	_	_
9	Tode	Tod	N	NN	Masc|Dat|Sg	8	pn	94	94
10	getroffen	treffen	V	VVPP	_	7	neb	_	_
11	röchelnd	röcheln	A	ADJD	_|<PPRES	12	adv	_	_
12	zu	zu	P	APPR	Dat	10	pp	_	_
13	Boden	Boden	N	NN	Masc|Dat|Sg	12	pn	50	50
14	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	741	741
2	Offizier	Offizier	N	NN	Masc|Nom|Sg	3	subj	741	741
3	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	685	685
5	Dolch	Dolch	N	NN	Masc|Acc|Sg	3	obja	685	685
6	fallen	fallen	V	VVINF	_	3	obji	_	_
7	,	,	$	$,	_	0	root	_	_
8	reißt	reißen	V	VVFIN	_|_|Pres|Ind	3	kon	_	_
9	den	die	A	ART	Def|Masc|_|_	10	det	742	742
10	Degen	Degen	N	NN	Masc|_|_	8	obja	742	742
11	aus	aus	P	APPR	Dat	8	objp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	_	_
13	Scheide	Scheide	N	NN	Fem|Dat|Sg	11	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	stellt	stellen	V	VVFIN	_|_|Pres|Ind	8	kon	_	_
16	sich	sie	P	PRF	3|_|_	15	obja	_	_
17	,	,	$	$,	_	0	root	_	_
18	wähnend	wähnen	A	ADJD	_|<PPRES	19	adv	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	740	740
20	sei	sein	V	VAFIN	1|Sg|Pres|Subj	15	kon	_	_
21	des	die	A	ART	Def|_|Gen|Sg	22	det	_	_
22	Mörders	Mörder	N	NN	Fem|Gen|Sg	0	root	_	_
23	Geselle	Geselle	N	NN	Fem|Gen|Sg	22	app	_	_
24	,	,	$	$,	_	0	root	_	_
25	kampffertig	kampffertig	A	ADJD	Pos|	26	adv	_	_
26	mir	ich	P	PPER	1|Sg|_|Dat	0	root	740	740
27	entgegen	entgegen	P	PTKVZ	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	eilt	eilen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
30	aber	aber	A	ADV	_	29	adv	_	_
31	schnell	schnell	A	ADJD	Pos|	29	adv	_	_
32	davon	davon	P	PROAV	_	29	objp	_	_
33	,	,	$	$,	_	0	root	_	_
34	als	als	K	KOUS	_	0	root	_	_
35	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	742	742
36	gewahrt	wahren	V	VVPP	_	0	root	_	_
37	,	,	$	$,	_	0	root	_	_
38	daß	daß	K	KOUS	_	0	root	_	_
39	ich	ich	P	PPER	1|Sg|_|Nom	0	root	740	740
40	,	,	$	$,	_	0	root	_	_
41	ohne	ohne	K	KOUI	_	0	root	_	_
42	mich	ich	P	PPER	1|Sg|_|Acc	0	root	740	740
43	um	um	K	KOUI	_	46	konj	_	_
44	ihn	er	P	PPER	3|Sg|Masc|Acc	46	obja	742	742
45	zu	zu	P	PTKZU	_	46	part	_	_
46	kümmern	kümmern	V	VVINF	_	51	neb	_	_
47	,	,	$	$,	_	0	root	_	_
48	nur	nur	A	ADV	_	51	adv	_	_
49	den	die	A	ART	Def|Masc|Acc|Sg	50	det	605	605
50	Leichnam	Leichnam	N	NN	Masc|Acc|Sg	51	obja	605	605
51	untersuche	untersuchen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
52	.	.	$	$.	_	0	root	_	_

1	Cardillac	Cardillac	N	NE	_|Nom|Sg	2	subj	262	262
2	lebte	leben	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	noch	noch	A	ADV	_	2	adv	_	_
4	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	740	740
2	lud	laden	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	262	262
4	,	,	$	$,	_	0	root	_	_
5	nachdem	nachdem	K	KOUS	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	740	740
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	743	743
8	Dolch	Dolch	N	NN	Masc|Acc|Sg	19	obja	743	743
9	,	,	$	$,	_	0	root	743	743
10	den	die	P	PRELS	Masc|Acc|Sg	15	obja	743	743
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	741	741
12	Offizier	Offizier	N	NN	Masc|Nom|Sg	13	subj	741	741
13	hatte	haben	V	VAFIN	3|Sg|Past|Ind	8	rel	_	_
14	fallen	fallen	V	VVINF	_	15	obji	_	_
15	lassen	lassen	V	VVINF	_	13	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	zu	zu	P	APPR	Dat	19	pp	_	_
18	mir	ich	P	PPER	1|Sg|_|Dat	17	pn	552	552
19	gesteckt	stecken	V	VVPP	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	auf	auf	P	APPR	Acc	19	pp	_	_
22	die	die	A	ART	Def|Fem|Acc|Pl	23	det	826	826
23	Schultern	Schulter	N	NN	Fem|Acc|Pl	21	pn	826	826
24	und	und	K	KON	_	0	root	_	_
25	schleppte	schleppen	V	VVFIN	_|Sg|Past|_	24	cj	_	_
26	ihn	er	P	PPER	3|Sg|Masc|Acc	25	obja	741	741
27	mühsam	mühsam	A	ADJD	Pos|	25	adv	_	_
28	fort	fort	A	ADV	_	25	adv	_	_
29	nach	nach	P	APPR	Dat	25	pp	_	_
30	Hause	Haus	N	NN	Neut|Dat|Sg	29	pn	4	4
31	und	und	K	KON	_	29	kon	_	_
32	durch	durch	P	APPR	Acc	31	cj	_	_
33	den	die	A	ART	Def|Masc|Acc|Sg	35	det	_	_
34	geheimen	geheim	A	ADJA	Pos|Masc|Acc|Sg|_|	35	attr	_	_
35	Gang	Gang	N	NN	Masc|Acc|Sg	32	pn	_	_
36	hinauf	hinauf	A	ADV	_	25	adv	_	_
37	in	in	P	APPR	Acc	25	pp	_	_
38	die	die	A	ART	Def|Fem|Acc|Sg	39	det	270	270
39	Werkstatt	Werkstatt	N	NN	Fem|Acc|Sg	37	pn	270	270
40	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Das	die	A	ART	Def|Neut|_|Sg	3	det	_	_
3	übrige	übrig	A	ADJA	Neut|_|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	Euch	ihr	P	PPER	2|Pl|_|Dat	4	objd	744	744
6	bekannt	bekannt	A	ADJD	Pos|	4	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	Ihr	ihr	P	PPER	2|Pl|_|Nom	9	subj	744	744
9	seht	sehen	V	VVFIN	2|Pl|Pres|Ind	4	kon	_	_
10	,	,	$	$,	_	0	root	_	_
11	mein	meine	A	PPOSAT	Neut|_|Sg	13	det	740	740
12	würdiges	würdig	A	ADJA	Pos|Neut|_|Sg|St|	13	attr	_	_
13	Fräulein	Fräulein	N	NN	Neut|_|Sg	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	21	konj	_	_
16	mein	meine	A	PPOSAT	Neut|Nom|Sg	18	det	740	740
17	einziges	einzig	A	ADJA	Pos|Neut|Nom|Sg|St|	18	attr	745	745
18	Verbrechen	Verbrechen	N	NN	Neut|Nom|Sg	21	subj	745	745
19	nur	nur	A	ADV	_	21	adv	_	_
20	darin	darin	P	PROAV	_	21	objp	_	_
21	besteht	bestehen	V	VVFIN	3|Sg|Pres|Ind	13	objc	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	30	konj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	740	740
25	Madelons	Madelons	N	NE	_|Gen|_	26	gmod	402	402
26	Vater	Vater	N	NN	Masc|_|Sg	30	obja	_	_
27	nicht	nicht	P	PTKNEG	_	29	adv	_	_
28	den	die	A	ART	Def|Neut|Dat|Pl	29	det	_	_
29	Gerichten	Gericht	N	NN	Neut|Dat|Pl	30	objd	_	_
30	verriet	verraten	V	VVFIN	1|Sg|Past|Ind	21	objc	_	_
31	und	und	K	KON	_	30	kon	_	_
32	so	so	A	ADV	_	34	adv	_	_
33	seinen	seine	A	PPOSAT	Fem|_|Pl	34	det	745	745
34	Untaten	Untat	N	NN	Fem|_|Pl	37	obja	_	_
35	ein	eine	A	ART	Indef|Neut|Nom|Sg	36	det	_	_
36	Ende	Ende	N	NN	Neut|Nom|Sg	37	subj	_	_
37	machte	machen	V	VVFIN	3|Sg|Past|_	31	cj	_	_
38	.	.	$	$.	_	0	root	_	_

1	Rein	rein	A	ADV	_	2	adv	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	740	740
4	von	von	P	APPR	_	2	pp	_	_
5	jeder	jede	A	PIDAT	Fem|_|Sg	6	det	_	_
6	Blutschuld	Blutschuld	N	NN	Fem|_|Sg	4	pn	_	_
7	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Keine	keine	A	PIAT	Fem|Nom|Sg	3	det	_	_
3	Marter	Marter	N	NN	Fem|Nom|Sg	4	subj	_	_
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	740	740
6	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
7	Geheimnis	Geheimnis	N	NN	Fem|_|Pl	11	obja	_	_
8	von	von	P	APPR	_	7	pp	_	_
9	Cardillacs	Cardillacs	N	NE	_|_|_	8	pn	310	310
10	Untaten	Untat	N	NN	Fem|_|Pl	7	app	_	_
11	abzwingen	abzwingen	V	VVINF	_	4	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	740	740
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	37	konj	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	8	det	746	746
7	ewigen	ewig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	8	attr	746	746
8	Macht	Macht	N	NN	Fem|Dat|Sg	37	objd	746	746
9	,	,	$	$,	_	0	root	746	746
10	die	die	P	PRELS	Fem|Nom|Sg	18	subj	746	746
11	der	die	A	ART	Def|Fem|Dat|Sg	13	det	_	_
12	tugendhaften	tugendhaft	A	ADJA	Pos|Fem|Dat|Sg|Wk|	13	attr	_	_
13	Tochter	Tochter	N	NN	Fem|Dat|Sg	18	objd	_	_
14	des	die	A	ART	Def|Masc|Gen|Sg	15	det	386	386
15	Vaters	Vater	N	NN	Masc|Gen|Sg	13	gmod	386	386
16	gräßliche	gräßlich	A	ADJA	Pos|Fem|_|Sg|_|	17	attr	_	_
17	Blutschuld	Blutschuld	N	NN	Fem|_|Sg	18	obja	_	_
18	verschleierte	verschleiern	V	VVFIN	3|Sg|Past|_	8	rel	_	_
19	,	,	$	$,	_	0	root	_	_
20	zum	zu	P	APPRART	Dat	18	pp	_	_
21	Trotz	Trotz	N	NN	Masc|_|Sg	20	pn	_	_
22	,	,	$	$,	_	0	root	_	_
23	das	die	A	ART	Def|Neut|_|Sg	25	det	_	_
24	ganze	ganz	A	ADJA	Pos|Neut|_|Sg|Wk|	25	attr	_	_
25	Elend	Elend	N	NN	Neut|_|Sg	21	app	_	_
26	der	die	A	ART	Def|Fem|Gen|Sg	27	det	_	_
27	Vergangenheit	Vergangenheit	N	NN	Fem|Gen|Sg	25	gmod	_	_
28	,	,	$	$,	_	0	root	_	_
29	ihres	ihre	A	PPOSAT	Neut|Gen|Sg	31	det	746	746
30	ganzen	ganz	A	ADJA	Pos|Neut|Gen|Sg|_|	31	attr	_	_
31	Seins	Sein	N	NN	Neut|Gen|Sg	8	gmod	_	_
32	noch	noch	A	ADV	_	37	adv	_	_
33	jetzt	jetzt	A	ADV	_	37	adv	_	_
34	tötend	töten	A	ADJD	_|<PPRES	37	adv	_	_
35	auf	auf	P	APPR	Acc	37	pp	_	_
36	sie	sie	P	PPER	3|_|_|Acc	35	pn	746	746
37	einbreche	einbrechen	V	VVFIN	_|Sg|Pres|_	2	objc	_	_
38	,	,	$	$,	_	0	root	_	_
39	daß	daß	K	KOUS	_	47	konj	_	_
40	noch	noch	A	ADV	_	47	adv	_	_
41	jetzt	jetzt	A	ADV	_	47	adv	_	_
42	die	die	A	ART	Def|Fem|Nom|Sg	44	det	_	_
43	weltliche	weltlich	A	ADJA	Pos|Fem|Nom|Sg|_|	44	attr	_	_
44	Rache	Rache	N	NN	Fem|Nom|Sg	47	subj	_	_
45	den	die	A	ART	Def|Masc|Acc|Sg	46	det	605	605
46	Leichnam	Leichnam	N	NN	Masc|Acc|Sg	47	obja	605	605
47	aufwühle	aufwühlen	V	VVFIN	3|Sg|Pres|Subj	37	subjc	_	_
48	aus	aus	P	APPR	Dat	47	pp	_	_
49	der	die	A	ART	Def|Fem|Dat|Sg	50	det	747	747
50	Erde	Erde	N	NN	Fem|Dat|Sg	48	pn	747	747
51	,	,	$	$,	_	0	root	747	747
52	die	die	P	PRELS	Fem|Nom|Sg	54	subj	747	747
53	ihn	er	P	PPER	3|Sg|Masc|Acc	54	obja	605	605
54	deckt	decken	V	VVFIN	3|Sg|Pres|Ind	50	rel	_	_
55	,	,	$	$,	_	0	root	_	_
56	daß	daß	K	KOUS	_	66	konj	_	_
57	noch	noch	A	ADV	_	66	adv	_	_
58	jetzt	jetzt	A	ADV	_	66	adv	_	_
59	der	die	A	ART	Def|Masc|Nom|Sg	60	det	552	552
60	Henker	Henker	N	NN	Masc|Nom|Sg	66	subj	552	552
61	die	die	A	ART	Def|_|_|Pl	63	det	_	_
62	vermoderten	vermodert	A	ADJA	Pos|_|_|Pl|Wk|	63	attr	_	_
63	Gebeine	Gebein	N	NN	_|_|Pl	66	obja	_	_
64	mit	mit	P	APPR	Dat	66	pp	_	_
65	Schande	Schande	N	NN	Fem|Dat|Sg	64	pn	748	748
66	brandmarke	brandmarken	V	VVFIN	3|Sg|Pres|Subj	50	objc	_	_
67	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Nein	nein	P	PTKANT	_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	mich	ich	P	PPER	1|Sg|_|Acc	8	obja	740	740
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	_	_
5	Geliebte	Geliebte	N	NN	Fem|Nom|Sg	3	subj	_	_
6	meiner	meine	A	PPOSAT	Fem|Gen|Sg	7	det	740	740
7	Seele	Seele	N	NN	Fem|Gen|Sg	5	gmod	_	_
8	beweinen	beweinen	V	VVINF	_	3	aux	_	_
9	als	als	K	KOKOM	_	8	kom	_	_
10	den	die	A	ART	Def|_|_|_	12	det	_	_
11	unschuldig	unschuldig	A	ADJD	Pos|	12	adv	_	_
12	Gefallenen	Gefallte	N	NN	_|_|_	9	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	15	det	72	72
15	Zeit	Zeit	N	NN	Fem|Nom|Sg	16	subj	72	72
16	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
17	ihren	ihre	A	PPOSAT	Masc|_|Sg	18	det	72	72
18	Schmerz	Schmerz	N	NN	Masc|_|Sg	19	obja	_	_
19	lindern	lindern	V	VVINF	_	16	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	aber	aber	K	KON	_	16	kon	_	_
22	unüberwindlich	unüberwindlich	N	NE	_|Nom|_	26	pred	_	_
23	würde	werden	V	VAFIN	3|Sg|Past|Subj	21	cj	_	_
24	der	die	A	ART	Def|Masc|Nom|Sg	25	det	749	749
25	Jammer	Jammer	N	NN	Masc|Nom|Sg	23	subj	749	749
26	sein	sein	V	VAINF	_	23	aux	_	_
27	über	über	P	APPR	_	26	pp	_	_
28	des	die	A	ART	Def|Masc|Gen|Sg	30	det	_	_
29	geliebten	geliebt	A	ADJA	Pos|Masc|Gen|Sg|_|	30	attr	_	_
30	Vaters	Vater	N	NN	Masc|Gen|Sg	27	pn	_	_
