1	Disses	Disses	N	NE	_|Nom|Sg	2	subj	267	267
9	er	er	P	PPER	3|Sg|Masc|Nom	0	root	2	2
10	fieleicht	fieleicht	A	ADJD	_	12	adv	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	_	_
12	Schantarm	Schantarm	N	NN	Masc|Acc|Sg	0	root	_	_
13	hohlen	hohl	A	ADJA	Pos|_|_|_|_|	0	root	_	_
14	oder	oder	K	KON	_	0	root	_	_
15	einen	eine	A	ART	Indef|Masc|Acc|Sg	16	det	_	_
16	Beziergsambdman	Beziergsambdman	N	NN	Masc|Acc|Sg	14	cj	_	_
17	?	?	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	280	280
2	last	lesen	V	VVFIN	2|_|Past|Ind	0	root	_	_
3	einen	eine	A	ART	Indef|Masc|Acc|Sg	4	det	234	234
4	Bfahrer	Bfahrer	N	NN	Masc|Acc|Sg	2	obja	234	234
5	hohlen	hohl	A	ADJA	Pos|_|_|_|_|	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PRELS	_|_|Sg	0	root	234	234
8	wo	wo	P	PWAV	_	10	adv	_	_
9	iem	iem	N	NE	_|Nom|Pl	10	subj	265	265
10	hälfen	helfen	V	VVFIN	3|Pl|Past|Subj	0	root	_	_
11	kahn	kahn	N	NE	_|Dat|_	10	objd	541	541
12	.	.	$	$.	_	0	root	_	_

1	Deswengen	Deswengen	N	NE	_	2	obja	_	_
2	missen	missen	V	VVFIN	_|_|_|_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	543	543
4	auch	auch	A	ADV	_	2	adv	_	_
5	die	die	A	ART	Def|_|Nom|_	6	det	542	542
6	Geischlichkeid	Geischlichkeid	N	NN	_|Nom|_	2	subj	542	542
7	ähren	ähren	N	NE	_|Nom|_	6	app	542	542
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	nichd	nichd	N	NE	_	11	obja	18	18
11	klauben	klauben	V	VVINF	_	9	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	das	die	P	PRELS	Neut|Nom|Sg	15	subj	18	18
14	sie	sie	P	PPER	3|_|_|_	15	obja	542	542
15	plos	plos	V	VVFIN	_|Sg|_|_	0	root	_	_
16	da	da	A	ADV	_	15	adv	_	_
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	bald	bald	A	ADV	_	20	adv	_	_
20	mir	ich	P	PPER	1|Sg|_|Dat	0	root	543	543
21	sie	sie	P	PPER	3|_|_|_	0	root	542	542
22	braugen	braugen	A	ADJD	_	0	root	_	_
23	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	544	544
2	Bolidik	Bolidik	N	NN	Fem|Nom|Sg	3	subj	544	544
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|_|Nom|Sg	5	det	_	_
5	Kambf	Kambf	N	NN	_|Nom|Sg	3	pred	_	_
6	von	von	P	APPR	_	5	pp	_	_
7	der	die	A	ART	Def|_|_|_	9	det	_	_
8	weldlichen	weldlichen	A	ADJA	_	9	attr	_	_
9	Obrikeid	Obrikeid	N	NN	_|_|_	6	pn	_	_
10	mit	mit	P	APPR	Dat	9	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	13	det	_	_
12	geischtlingen	geischtlingen	A	ADJA	_	13	attr	_	_
13	Obrikeid	Obrikeid	N	NN	Fem|Dat|Sg	10	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	bald	bald	A	ADV	_	3	adv	1067	1067
2	die	die	A	ART	Def|_|_|_	3	det	1067	1067
3	weldliche	weldliche	N	NN	_|_|_	0	root	1067	1067
4	Obrikeid	Obrikeid	N	NE	Masc|_|Sg	3	app	1067	1067
5	Herr	Herr	N	NN	Masc|_|Sg	4	app	1067	1067
6	wierd	wierd	N	NE	Masc|_|Sg	5	app	1067	1067
7	,	,	$	$,	_	0	root	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
10	lieberahl	lieberahl	A	ADJD	_	8	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	bald	bald	A	ADV	_	12	cj	_	_
14	die	die	A	ART	Def|_|_|_	15	det	_	_
15	Geischlichkeit	Geischlichkeit	N	NE	Masc|Nom|Sg	8	pred	_	_
16	Herr	Herr	N	NN	Masc|Nom|Sg	15	app	_	_
17	wierd	wierd	N	NE	Masc|Nom|Sg	16	app	_	_
18	,	,	$	$,	_	0	root	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	8	kon	_	_
20	es	es	P	PPER	3|Sg|Neut|_	19	expl	_	_
21	uldramadan	uldramadan	A	ADJD	_	19	pred	_	_
22	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	2	obja	_	_
2	had	had	V	VVFIN	_|Sg|_|_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Ögonohm	Ögonohm	F	FM	Masc|Nom|Sg	2	subj	_	_
5	fon	fon	F	FM	Masc|Nom|Sg	4	app	_	_
6	der	die	A	ART	Def|_|Gen|_	8	det	791	791
7	weldlichen	weldlichen	A	ADJA	_	8	attr	791	791
8	Obrikeit	Obrikeit	N	NN	_|Gen|_	5	gmod	791	791
9	?	?	$	$.	_	0	root	_	_

1	Nichz	Nichz	N	NE	_	0	root	1088	1088
2	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	545	545
2	Schantarm	Schantarm	N	NN	Masc|Nom|Sg	3	subj	545	545
3	schreibt	schreiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	ien	ien	N	NE	_	3	obja	420	420
5	auf	auf	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	der	die	A	ART	Def|_|_|_	9	det	_	_
9	Beziergsambdman	Beziergsambdman	F	FM	_|_|_	7	cj	_	_
10	schraft	schraft	F	FM	_|_|_	9	app	_	_
11	ien	ien	F	FM	_|_|_	10	app	_	_
12	und	und	K	KON	_	11	kon	_	_
13	der	die	A	ART	Def|_|_|_	14	det	_	_
14	Ambsrichter	Ambsrichter	F	FM	_|_|_	12	cj	_	_
15	schberrt	schberrt	F	FM	_|_|_	14	app	_	_
16	ien	ien	F	FM	_|_|_	15	app	_	_
17	ein	ein	P	PTKVZ	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	_	_
20	Rentambman	Rentambman	N	NN	Masc|Nom|Sg	21	subj	_	_
21	hohlt	hohlt	V	VVFIN	_|Sg|_|_	18	cj	_	_
22	die	die	A	ART	Def|_|_|_	23	det	546	546
23	Schteiern	Schteiern	N	NN	_|_|_	21	obja	546	546
24	.	.	$	$.	_	0	root	_	_

1	blos	blos	A	ADJD	_	6	adv	_	_
2	bei	bei	P	APPR	Dat	1	pp	_	_
3	dissen	dissen	F	FM	_|Dat|_	2	pn	_	_
4	Bescheftigungen	Bescheftigungen	F	FM	_|Dat|_	3	app	_	_
5	schteigen	schteigen	F	FM	_|Dat|_	4	app	_	_
6	sie	sie	P	PPER	3|_|_|_	0	root	546	546
7	zum	zu	P	APPRART	Dat	6	pp	_	_
8	Folke	Folke	N	NN	_|Dat|_	7	pn	_	_
9	herunder	herunder	N	NE	_|Dat|_	8	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	sonzt	sonzt	N	NE	_|Dat|_	12	objd	197	197
12	siecht	siechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	man	man	P	PIS	_|Nom|Sg	12	subj	_	_
14	sie	sie	P	PPER	3|_|_|_	12	obja	546	546
15	das	die	A	ART	Def|Neut|_|Sg	16	det	_	_
16	gantse	gantse	F	FM	Neut|_|Sg	0	root	_	_
17	Jar	Jar	F	FM	Neut|_|Sg	16	app	_	_
18	nichd	nichd	F	FM	Neut|_|Sg	17	app	_	_
19	und	und	K	KON	_	0	root	_	_
20	bald	bald	A	ADV	_	19	cj	_	_
21	der	die	A	ART	Def|_|_|_	22	det	_	_
22	Ögonohm	Ögonohm	F	FM	_|_|_	0	root	_	_
23	fieleichd	fieleichd	F	FM	_|_|_	22	app	_	_
24	einmahl	einmahl	F	FM	_|_|_	23	app	_	_
25	etwas	etwas	A	ADV	_	26	adv	_	_
26	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
27	mechte	mechte	N	NE	_|Nom|Pl	26	subj	548	548
28	,	,	$	$,	_	0	root	_	_
29	dan	dan	F	FM	_	0	root	_	_
30	ferschwienden	ferschwienden	F	FM	_	29	app	_	_
31	sie	sie	F	FM	_	30	app	_	_
32	und	und	K	KON	_	0	root	_	_
33	hören	hören	V	VVFIN	_|Pl|Pres|_	32	cj	_	_
34	nichd	nichd	F	FM	_	33	obja	_	_
35	mer	mer	F	FM	_	34	app	_	_
36	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	547	547
2	weldliche	weldliche	A	ADJA	_	3	attr	547	547
3	Obrikeid	Obrikeid	N	NN	Fem|Nom|Sg	4	subj	547	547
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	plos	plos	A	ADJD	_	4	adv	_	_
6	da	da	A	ADV	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	das	die	P	PRELS	Neut|_|Sg	0	root	_	_
9	sie	sie	P	PPER	3|_|_|_	0	root	547	547
10	was	was	P	PIS	_	0	root	_	_
11	zum	zu	P	APPRART	Dat	10	pp	_	_
12	ferbieten	ferbieten	F	FM	_|Dat|_	11	pn	_	_
13	had	had	F	FM	_|Dat|_	12	app	_	_
14	oder	oder	K	KON	_	11	kon	_	_
15	zum	zu	P	APPRART	Dat	14	cj	_	_
16	schtrafen	schtrafen	N	NN	_|Dat|_	15	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|_	2	det	_	_
2	weldliche	weldliche	F	FM	_|_|_	0	root	_	_
3	Obrikeit	Obrikeit	F	FM	_|_|_	2	app	_	_
4	had	had	F	FM	_|_|_	3	app	_	_
5	an	an	P	APPR	_	4	pp	_	_
6	jäder	jäder	A	ADJA	_|Fem|_|Sg|_	7	attr	_	_
7	Hand	Hand	N	NN	Fem|_|Sg	5	pn	_	_
8	dausend	dausend	A	ADJA	_|Masc|_|_|_	9	attr	_	_
9	Finger	Finger	N	NN	Masc|_|_	7	app	_	_
10	bald	bald	A	ADV	_	5	adv	_	_
11	sie	sie	P	PPER	3|_|_|_	0	root	548	548
12	was	was	P	PIS	_|Nom|Pl	13	subj	_	_
13	nähmen	nehmen	V	VVFIN	3|Pl|Past|Subj	0	root	_	_
14	kahn	kahn	N	NE	_	13	obja	541	541
15	,	,	$	$,	_	0	root	_	_
16	haber	haber	V	VVFIN	3|_|_|_	18	s	_	_
17	sie	sie	P	PPER	3|Sg|Fem|Nom	16	subj	541	541
18	had	had	V	VVFIN	_|Sg|_|_	0	root	_	_
19	eine	eine	A	ART	Indef|Fem|Nom|Sg	20	det	_	_
20	Fausd	Fausd	N	NN	Fem|Nom|Sg	18	subj	_	_
21	und	und	K	KON	_	20	kon	_	_
22	keine	keine	A	PIAT	Masc|Nom|Pl	23	det	_	_
23	Finger	Finger	N	NN	Masc|Nom|Pl	21	cj	_	_
24	bald	bald	A	ADV	_	18	adv	_	_
25	sie	sie	P	PPER	3|_|_|_	0	root	541	541
26	was	was	P	PWS	Neut|_|Sg	0	root	_	_
27	hergehben	hergehben	F	FM	_	0	root	_	_
28	sohl	sohl	F	FM	_	27	app	_	_
29	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	geischlinge	geischlinge	A	ADJA	_	3	attr	_	_
3	Obrikeid	Obrikeid	N	NN	Fem|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	da	da	A	ADV	_	4	adv	_	_
6	fon	fon	C	CARD	_	11	attr	_	_
7	der	die	A	ART	Def|_|Gen|_	8	det	_	_
8	Wiehge	Wiehge	N	NN	_|Gen|_	6	gmod	_	_
9	bis	bis	P	APPR	Acc	8	pp	_	_
10	zun	zun	N	NE	_|Acc|_	9	pn	998	998
11	Grahbe	Grahbe	N	NE	_|Nom|Pl	4	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	Jäder	Jäder	N	NE	_	0	root	549	549
2	waise	waise	F	FM	_	1	app	549	549
3	Mahn	Mahn	F	FM	_	2	app	549	549
4	schaugt	schaugt	F	FM	_	3	app	549	549
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PRELS	Neut|_|Sg	0	root	549	549
7	er	er	P	PPER	3|Sg|Masc|Nom	0	root	2	2
8	mit	mit	A	ADV	_	9	adv	_	_
9	dissen	dissen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
10	Mentschen	Mentschen	N	NE	_|Nom|Sg	12	subj	_	_
11	freindlich	freindlich	N	NE	_|Nom|Sg	10	app	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	wo	wo	P	PWAV	_	17	adv	_	_
15	bei	bei	P	APPR	Dat	17	objp	_	_
16	iem	iem	N	NN	_|Dat|_	15	pn	265	265
17	wohnen	wohnen	V	VVFIN	_|Pl|Pres|_	12	objc	_	_
18	und	und	K	KON	_	0	root	_	_
19	wo	wo	P	PWAV	_	18	cj	_	_
20	er	er	P	PPER	3|Sg|Masc|Nom	0	root	265	265
21	was	was	P	PWS	Neut|_|Sg	0	root	_	_
22	dafon	dafon	F	FM	_	0	root	_	_
23	had	had	F	FM	_	22	app	_	_
24	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	bezirgsambdman	bezirgsambdman	N	NN	Masc|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	bei	bei	P	APPR	Dat	0	root	_	_
6	ins	in	P	APPRART	Neut|Acc	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	der	die	A	ART	Def|_|_|_	10	det	_	_
10	Minisder	Minisder	N	NN	_|_|_	8	cj	_	_
11	auch	auch	A	ADV	_	10	adv	_	_
12	nichd	nichd	A	ADJD	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	haber	haber	V	VVFIN	_|Sg|_|_	0	root	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	62	62
16	Bfahrer	Bfahrer	N	NN	Masc|Nom|Sg	14	subj	62	62
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	bei	bei	P	APPR	Dat	0	root	_	_
19	ins	in	P	APPRART	Neut|Acc	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	retet	retet	F	FM	_	20	cj	_	_
22	insere	insere	F	FM	_	21	app	_	_
23	unschterbliche	unschterbliche	F	FM	_	22	app	_	_
24	Sähle	Sähle	F	FM	_	23	app	_	_
25	,	,	$	$,	_	0	root	_	_
26	bald	bald	A	ADV	_	30	adv	_	_
27	mier	mier	A	ADJD	_	30	adv	_	_
28	seine	seine	A	PPOSAT	_|_|_	29	det	62	62
29	Freindschaft	Freindschaft	N	NN	_|_|_	30	obja	_	_
30	erhalden	erhalden	V	VVINF	_	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	indem	indem	K	KOUS	_	37	konj	_	_
33	das	die	A	ART	Def|Neut|Nom|Sg	34	det	222	222
34	mier	mier	N	NN	Neut|Nom|Sg	37	pred	222	222
35	beim	bei	P	APPRART	Dat	37	pp	_	_
36	Zendrum	Zendrum	N	NN	_|Dat|_	35	pn	_	_
37	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
38	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	ser	ser	A	ADJD	_	2	adv	_	_
5	beinlich	beinlich	A	ADJD	Pos|	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	bald	bald	A	ADV	_	8	adv	_	_
8	man	man	P	PIS	_|Nom|Sg	0	root	_	_
9	sich	sie	P	PRF	3|_|_	11	obja	_	_
10	rebellisch	rebellisch	A	ADJD	Pos|	11	adv	_	_
11	beniemt	beniemt	V	VVINF	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	indem	indem	K	KOUS	_	0	root	_	_
14	der	die	A	ART	Def|_|_|_	15	det	_	_
15	hochwierninge	hochwierninge	F	FM	_|_|_	0	root	_	_
16	Her	Her	F	FM	_|_|_	15	app	_	_
17	Bfahrer	Bfahrer	F	FM	_|_|_	16	app	_	_
18	die	die	A	ART	Def|_|_|_	19	det	_	_
19	Familli	Familli	N	NN	_|_|_	0	root	_	_
20	behärscht	behärscht	N	NE	_|Gen|Sg	19	gmod	_	_
21	und	und	K	KON	_	20	kon	_	_
22	durch	durch	P	APPR	Acc	26	pp	_	_
23	die	die	A	ART	Def|_|Acc|_	24	det	550	550
24	Schtimme	Schtimme	N	NN	_|Acc|_	22	pn	550	550
25	des	die	A	ART	Def|_|Gen|Sg	26	det	_	_
26	Weihbes	Weihbes	N	NN	_|Gen|Sg	21	cj	_	_
27	zu	zu	P	PTKZU	_	0	root	_	_
28	ins	in	P	APPRART	Acc	32	pp	_	_
29	schpricht	schpricht	N	NN	_|Acc|_	28	pn	_	_
30	und	und	K	KON	_	29	kon	_	_
31	disses	disses	N	NE	_|Acc|_	30	cj	463	463
32	schpürt	schpürt	V	VVFIN	_|Sg|_|_	0	root	_	_
33	man	man	P	PIS	_|Nom|Sg	32	subj	_	_
34	ser	ser	A	ADJD	_	32	adv	_	_
35	,	,	$	$,	_	0	root	_	_
36	und	und	K	KON	_	32	kon	_	_
37	hat	haben	V	VAFIN	3|Sg|Pres|Ind	36	cj	_	_
38	keine	keine	A	PIAT	Fem|Nom|Sg	39	det	_	_
39	Ru	Ru	N	NN	Fem|Nom|Sg	37	subj	_	_
40	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|_	3	det	551	551
2	weltliche	weltlich	A	ADJA	Pos|_|Nom|_|_|	3	attr	551	551
3	Obrikeid	Obrikeid	N	NN	_|Nom|_	6	subj	551	551
4	derf	derf	N	NE	_|Nom|_	3	app	551	551
5	aber	aber	A	ADV	_	3	adv	_	_
6	disses	disses	V	VVFIN	_|_|_|_	0	root	_	_
7	sich	sie	P	PRF	3|_|Dat	6	objd	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	unternähmen	unternehmen	V	VVFIN	_|Pl|Past|Subj	6	s	_	_
10	,	,	$	$,	_	0	root	_	_
11	indem	indem	K	KOUS	_	13	konj	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
13	sonzt	sonzt	V	VVFIN	3|Sg|_|_	16	neb	_	_
14	ein	eine	A	ART	Indef|_|Nom|Sg	15	det	_	_
15	Gewiesenszwang	Gewiesenszwang	N	NN	_|Nom|Sg	16	subj	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	in	in	P	APPR	_	17	cj	_	_
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	552	552
20	Zeidung	Zeidung	N	NN	Masc|Nom|Sg	18	pn	552	552
21	schteht	schteht	N	NE	Masc|Nom|Sg	20	app	552	552
22	.	.	$	$.	_	0	root	_	_

1	Sontern	Sontern	N	NE	_|Nom|Sg	3	subj	463	463
2	disses	disses	N	NE	_|Nom|Sg	1	app	463	463
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|_|_|Sg	5	det	_	_
5	Vohrrecht	Vohrrecht	F	FM	_|Nom|Pl	3	pred	_	_
6	fon	fon	F	FM	_|Nom|Pl	5	app	_	_
7	inserner	inserner	F	FM	_|Nom|Pl	6	app	_	_
8	heutigen	heutig	A	ADJA	Pos|_|Nom|Pl|Wk|	9	attr	_	_
9	Rähligion	Rähligion	N	NN	_|Nom|Pl	7	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	indem	indem	K	KOUS	_	0	root	_	_
12	sie	sie	P	PPER	_|_|_	0	root	463	463
13	ieberahl	ieberahl	F	FM	_	12	app	_	_
14	hinein	hinein	F	FM	_	13	app	_	_
15	kohmt	kohmt	F	FM	_	14	app	_	_
16	.	.	$	$.	_	0	root	_	_

1	Wen	wer	P	PWS	_|Acc|Sg	5	obja	_	_
2	der	die	A	ART	Def|_|Gen|_	3	det	_	_
3	Mentsch	Mentsch	N	NN	_|Gen|_	1	gmod	_	_
4	angenähm	angenähm	N	NE	_|Gen|_	3	app	_	_
5	leben	leben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	wiel	wiel	N	NE	_|Nom|Pl	5	subj	468	468
7	und	und	K	KON	_	5	kon	_	_
8	keinen	keine	A	PIAT	_|_|_	9	det	_	_
9	Schtreit	Schtreit	N	NN	_|_|_	10	obja	_	_
10	haben	haben	V	VAFIN	_|Pl|Pres|_	7	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	keine	keine	A	PIAT	_|_|_	14	det	_	_
14	Zerwierfnisse	Zerwierfnisse	N	NN	_|_|_	18	obja	_	_
15	mit	mit	P	APPR	Dat	14	pp	_	_
16	seine	seine	A	PPOSAT	_|_|_	17	det	468	468
17	Nachbahrn	Nachbahrn	N	NN	_|_|_	15	pn	_	_
18	muhs	muhs	V	VVFIN	3|Sg|_|_	12	cj	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	468	468
20	seine	seine	A	PPOSAT	_|Nom|_	21	det	468	468
21	Bflichd	Bflichd	N	NN	_|Nom|_	22	subj	_	_
22	gengen	gengen	V	VVFIN	_|_|_|_	0	root	_	_
23	die	die	A	ART	Def|_|_|_	24	det	530	530
24	Kierche	Kierche	N	NN	_|_|_	22	obja	530	530
25	erfühlen	erfühlen	V	VVINF	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	0	root	_	_
28	wan	wan	N	NE	_	0	root	_	_
29	der	die	A	ART	Def|_|Gen|_	30	det	412	412
30	Mentsch	Mentsch	N	NN	_|Gen|_	28	gmod	412	412
31	eine	eine	A	ART	Indef|Fem|_|Sg	33	det	_	_
32	schene	schene	A	ADJA	_|Fem|_|Sg|_	33	attr	_	_
