1	Vivat	Vivat	N	NE	_	0	root	1180	1180
15	seiner	seine	A	PPOSAT	Fem|Gen|Sg	17	det	754	754
16	gastlichen	gastlich	A	ADJA	Pos|Fem|Gen|Sg|Wk|	17	attr	_	_
17	Pforte	Pforte	N	NN	Fem|Gen|Sg	14	gmod	_	_
18	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	bleiben	bleiben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	alle	alle	A	PIDAT	_|Nom|Pl	5	det	_	_
4	die	die	A	ART	Def|_|Nom|Pl	5	det	_	_
5	Bilder	Bild	N	NN	_|Nom|Pl	2	subj	_	_
6	und	und	K	KON	_	0	root	_	_
7	-	-	$	$(	_	0	root	_	_
8	die	die	A	ART	Def|Masc|_|Pl	9	det	_	_
9	Gerüche	Geruch	N	NN	Masc|_|Pl	0	root	_	_
10	in	in	P	APPR	Dat	9	pp	_	_
11	dieser	diese	A	PDAT	Fem|Dat|Sg	12	det	25	25
12	Welt	Welt	N	NN	Fem|Dat|Sg	10	pn	25	25
13	?	?	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	riecht	riechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	heute	heute	A	ADV	_	2	adv	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	nach	nach	P	APPR	Dat	2	pp	_	_
6	Gänsebraten	Gänsebraten	N	NN	_|Dat|_	5	pn	755	755
7	und	und	K	KON	_	5	kon	_	_
8	(	(	$	$(	_	0	root	_	_
9	da	da	K	KOUS	_	12	konj	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
11	Sommer	Sommer	N	NN	Masc|Nom|_	12	pred	1712	1712
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	par	_	_
13	)	)	$	$(	_	0	root	_	_
14	auch	auch	A	ADV	_	16	adv	_	_
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	nach	nach	P	APPR	Dat	7	cj	_	_
17	Schwefelwasserstoff	Schwefelwasserstoff	N	NN	Masc|Dat|Sg	16	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	Ammoniak	Ammoniak	N	NN	Neut|Dat|Sg	17	kon	773	773
20	und	und	K	KON	_	19	kon	_	_
21	salpetriger	salpetrig	A	ADJA	Pos|Fem|Dat|Sg|St|	22	attr	_	_
22	Säure	Säure	N	NN	Fem|Dat|Sg	20	cj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
2	feiner	fein	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	_	_
3	,	,	$	$,	_	0	root	_	_
4	lieblicher	lieblich	A	ADJA	Pos|Masc|Nom|Sg|St|	2	kon	_	_
5	Wohlduft	Wohlduft	N	NN	Masc|Nom|Sg	6	subj	_	_
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	eben	eben	A	ADV	_	6	adv	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	756	756
9	Oberhand	Oberhand	N	NN	Fem|_|Sg	6	obja	756	756
10	und	und	K	KON	_	6	kon	_	_
11	stammt	stammen	V	VVFIN	_|_|Pres|Ind	10	cj	_	_
12	von	von	P	APPR	_	11	objp	_	_
13	Emmy	Emmy	N	NE	_|_|_	12	pn	46	46
14	,	,	$	$,	_	0	root	46	46
15	aus	aus	P	APPR	Dat	13	pp	46	46
16	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	17	det	756	756
17	Nähkasten	Nähkasten	N	NN	Masc|Dat|Sg	15	pn	_	_
18	und	und	K	KON	_	17	kon	_	_
19	dem	die	A	ART	Def|_|Dat|Sg	20	det	_	_
20	Gewölk	Gewölk	N	NN	_|Dat|Sg	18	cj	_	_
21	feinen	fein	A	ADJA	Pos|Neut|Gen|Sg|_|	22	attr	757	757
22	Weißzeuges	Weißzeug	N	NN	Neut|Gen|Sg	20	gmod	757	757
23	,	,	$	$,	_	0	root	757	757
24	das	die	P	PRELS	Neut|_|Sg	32	obja	757	757
25	sie	sie	P	PPER	3|Sg|Fem|Nom	33	subj	756	756
26	auf	auf	P	APPR	_	32	pp	_	_
27	Tisch	Tisch	N	NN	Masc|_|Sg	26	pn	141	141
28	und	und	K	KON	_	27	kon	_	_
29	Stuhl	Stuhl	N	NN	Masc|_|Sg	28	cj	758	758
30	um	um	P	APPR	Acc	32	pp	_	_
31	sich	sie	P	PRF	3|_|Acc	30	pn	_	_
32	versammelt	versammeln	V	VVPP	_	33	aux	_	_
33	hat	haben	V	VAFIN	3|Sg|Pres|Ind	22	rel	_	_
34	,	,	$	$,	_	0	root	_	_
35	und	und	K	KON	_	33	kon	_	_
36	wirkt	wirken	V	VVFIN	_|_|Pres|Ind	35	cj	_	_
37	berauschender	berauschend	A	ADJD	Comp|<PPRES	36	pred	_	_
38	und	und	K	KON	_	37	kon	_	_
39	mächtiger	mächtig	A	ADJD	Comp|	38	cj	_	_
40	als	als	K	KOKOM	_	36	kom	_	_
41	sonst	sonst	A	ADV	_	40	cj	_	_
42	ein	eine	A	ART	Indef|Masc|Nom|Sg	43	det	_	_
43	Duft	Duft	N	NN	Masc|Nom|Sg	50	subj	_	_
44	aus	aus	P	APPR	Dat	50	pp	_	_
45	der	die	A	ART	Def|Fem|Dat|Sg	47	det	_	_
46	alten	alt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	47	attr	_	_
47	Hexenküche	Hexenküche	N	NN	Fem|Dat|Sg	44	pn	_	_
48	,	,	$	$,	_	0	root	_	_
49	Erde	Erde	N	NN	Fem|_|Sg	50	obja	_	_
50	genannt	nennen	V	VVPP	_	36	neb	_	_
51	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	heiße	heiß	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	_
3	Julisonne	Julisonne	N	NN	Fem|Nom|Sg	4	subj	_	_
4	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	durch	durch	P	APPR	Acc	4	objp	_	_
6	jeden	jede	A	PIDAT	Masc|Acc|Sg	7	det	_	_
7	Ritz	Ritz	N	NN	Masc|Acc|Sg	5	pn	_	_
8	und	und	K	KON	_	7	kon	_	_
9	Spalt	Spalt	N	NN	Masc|Acc|Sg	8	cj	_	_
10	in	in	P	APPR	Acc	9	pp	_	_
11	die	die	A	ART	Def|Fem|Acc|Sg	14	det	_	_
12	kühle	kühl	A	ADJA	Pos|Fem|Acc|Sg|_|	14	attr	_	_
13	aufgegebene	aufgegeben	A	ADJA	Pos|Fem|Acc|Sg|_|	14	attr	_	_
14	Mühle	Mühle	N	NN	Fem|Acc|Sg	10	pn	_	_
15	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	2	det	_	_
2	Stuben	Stube	N	NN	Fem|Nom|Pl	3	subj	_	_
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	K	KOKOM	_	15	kom	759	759
6	gesagt	sagen	V	VVPP	_	5	cj	759	759
7	,	,	$	$,	_	0	root	759	759
8	ausgeleert	ausleeren	V	VVPP	_	6	kon	759	759
9	von	von	P	APPR	_	8	pp	759	759
10	Gerätschaften	Gerätschaft	N	NN	Fem|_|Pl	9	pn	759	759
11	,	,	$	$,	_	0	root	759	759
12	und	und	K	KON	_	9	kon	759	759
13	selbst	selbst	A	ADV	_	12	cj	759	759
14	die	die	A	ART	Def|Fem|Nom|Pl	15	det	759	759
15	Fliegen	Fliege	N	NN	Fem|Nom|Pl	16	subj	759	759
16	haben	haben	V	VAFIN	3|Pl|Pres|_	3	s	_	_
17	nur	nur	A	ADV	_	29	adv	_	_
18	ihre	ihre	A	PPOSAT	Masc|_|Pl	20	det	759	759
19	vertrockneten	vertrocknet	A	ADJA	Pos|Masc|_|Pl|Wk|	20	attr	_	_
20	Leichname	Leichnam	N	NN	Masc|_|Pl	29	obja	_	_
21	in	in	P	APPR	Dat	29	pp	_	_
22	den	die	A	ART	Def|Neut|Dat|Pl	24	det	_	_
23	staubigen	staubig	A	ADJA	Pos|Neut|Dat|Pl|_|	24	attr	_	_
24	Fenstern	Fenster	N	NN	Neut|Dat|Pl	21	pn	_	_
25	der	die	A	ART	Def|_|_|_	26	det	_	_
26	Wohn-	Wohn-	T	TRUNC	Fem|_|Sg	24	gmod	_	_
27	und	und	K	KON	_	26	kon	_	_
28	Gaststube	Gaststube	N	NN	Fem|_|Sg	27	cj	_	_
29	zurückgelassen	zurücklassen	V	VVPP	_	16	aux	_	_
30	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	ja	ja	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|_|Nom|Sg	5	det	_	_
5	Wunder	Wunder	N	NN	_|Nom|Sg	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	0	root	_	_
8	Christine	Christine	N	NE	Fem|_|Sg	0	root	73	73
9	das	die	A	ART	Def|Neut|_|Sg	10	det	_	_
10	Notwendige	Notwendige	N	NN	Neut|_|Sg	0	root	_	_
11	für	für	P	APPR	Acc	10	pp	_	_
12	unsere	unsre	A	PPOSAT	_|_|_	13	det	760	760
13	wunderliche	wunderlich	A	ADJA	_|_|_	11	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	761	761
16	so	so	A	ADV	_	17	adv	_	_
17	märchenhafte	märchenhaft	A	ADJA	Pos|_|Nom|Sg|_|	18	attr	_	_
18	Villeggiatur	Villeggiatur	N	NN	_|Nom|Sg	22	subj	_	_
19	für	für	P	APPR	Acc	18	pp	_	_
20	uns	wir	P	PPER	1|Pl|_|Acc	19	pn	760	760
21	zusammengebracht	zusammenbringen	V	VVPP	_	22	aux	_	_
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
23	und	und	K	KON	_	0	root	_	_
24	wie	wie	P	PWAV	_	38	adv	_	_
25	uns	wir	P	PPER	1|Pl|_|Dat	38	objd	760	760
26	,	,	$	$,	_	0	root	_	_
27	meinem	meine	A	PPOSAT	Neut|Dat|Sg	29	det	761	761
28	jungen	jung	A	ADJA	Pos|Neut|Dat|Sg|Wk|	29	attr	_	_
29	Weibe	Weib	N	NN	Neut|Dat|Sg	25	app	_	_
30	und	und	K	KON	_	29	kon	_	_
31	mir	ich	P	PPER	1|Sg|_|Dat	30	cj	761	761
32	,	,	$	$,	_	0	root	_	_
33	eigentlich	eigentlich	A	ADV	_	38	adv	_	_
34	nichts	nichts	P	PIS	_|Nom|_	38	subj	_	_
35	,	,	$	$,	_	0	root	_	_
36	gar	gar	A	ADV	_	37	adv	_	_
37	nichts	nichts	P	PIS	_|Nom|_	34	kon	_	_
38	mangelt	mangeln	V	VVFIN	_|_|Pres|_	23	cj	_	_
39	,	,	$	$,	_	0	root	_	_
40	obgleich	obgleich	K	KOUS	_	45	konj	_	_
41	wir	wir	P	PPER	1|Pl|_|Nom	45	subj	760	760
42	allstündlich	allstündlich	A	ADJD	Pos|	45	adv	_	_
43	so	so	A	ADV	_	44	adv	_	_
44	manches	manche	P	PIS	_|_|Sg	45	obja	_	_
45	vermissen	vermissen	V	VVFIN	1|Pl|Pres|_	38	neb	_	_
46	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	eigentlich	eigentlich	A	ADV	_	3	adv	_	_
5	doch	doch	A	ADV	_	3	adv	_	_
6	für	für	P	APPR	Acc	3	objp	_	_
7	vieles	viele	P	PIS	Neut|Acc|Sg	6	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	Emmy	Emmy	N	NE	Neut|Acc|Sg	7	app	_	_
10	-	-	$	$(	_	0	root	_	_
11	was	was	P	PWS	Neut|_|Sg	0	root	_	_
12	?	?	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
3	dummer	dumm	A	ADJA	Pos|Masc|_|_|St|	4	attr	762	762
4	Mann	Mann	N	NN	Masc|_|_	0	root	762	762
5	-	-	$	$(	_	0	root	_	_
6	natürlich	natürlich	A	ADJD	Pos|	0	root	_	_
7	!	!	$	$.	_	0	root	_	_
8	...	...	$	$.	_	0	root	_	_

1	aber	aber	A	ADV	_	2	adv	_	_
2	ärgerlich	ärgerlich	A	ADJD	Pos|	3	pred	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_|Sg|_|Nom	3	subj	1	1
6	doch	doch	A	ADV	_	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	15	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	763	763
10	nicht	nicht	P	PTKNEG	_	15	adv	_	_
11	damals	damals	A	ADV	_	15	adv	_	_
12	schon	schon	A	ADV	_	15	adv	_	_
13	mit	mit	P	APPR	Dat	15	pp	_	_
14	dabeigewesen	dabeigewesen	A	ADJD	Pos|	13	pn	_	_
15	bin	sein	V	VAFIN	1|Sg|Pres|Ind	3	objc	_	_
16	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	erzähle	erzählen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
3	nur	nur	A	ADV	_	2	adv	_	_
4	zu	zu	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	närrisches	närrisch	A	ADJA	Pos|Neut|_|Sg|St|	7	attr	_	_
7	Menschenkind	Menschenkind	N	NN	Neut|_|Sg	2	vok	_	_
8	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	fädele	fädeln	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	763	763
5	aber	aber	A	ADV	_	3	adv	_	_
6	erst	erst	A	ADV	_	8	adv	_	_
7	meine	meine	A	PPOSAT	Fem|Nom|Sg	8	det	763	763
8	Nadel	Nadel	N	NN	Fem|Nom|Sg	3	subj	_	_
9	ein	ein	P	PTKVZ	_	3	avz	_	_
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	2	det	_	_
2	Nähmaschine	Nähmaschine	N	NN	Fem|_|Sg	3	obja	_	_
3	hätten	haben	V	VAFIN	1|Pl|Past|Subj	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
5	doch	doch	A	ADV	_	3	adv	_	_
6	mit	mit	P	PTKVZ	_	3	avz	_	_
7	herausbringen	herausbringen	V	VVINF	_	8	aux	_	_
8	sollen	sollen	V	VMINF	_	3	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	da	da	A	ADV	_	5	adv	_	_
5	seid	sein	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
6	ihr	ihr	P	PPER	2|Pl|_|Nom	5	subj	765	765
7	ja	ja	A	ADV	_	5	adv	_	_
8	endlich	endlich	A	ADJD	Pos|	5	pred	_	_
9	!	!	$	$.	_	0	root	_	_

1	Seit	seit	P	APPR	Dat	3	pp	_	_
2	Stunden	Stunde	N	NN	_|Dat|_	1	pn	764	764
3	guckt	gucken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	nach	nach	P	APPR	Dat	3	pp	_	_
6	euch	ihr	P	PPER	2|Pl|_|Dat	5	pn	765	765
7	aus	aus	P	PTKVZ	_	3	avz	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	mein	meine	A	PPOSAT	Masc|Nom|Sg	12	det	767	767
12	Vater	Vater	N	NN	Masc|Nom|Sg	10	subj	767	767
13	,	,	$	$,	_	0	root	_	_
14	mit	mit	P	APPR	Dat	28	pp	_	_
15	einer	eine	A	ART	Indef|Fem|Dat|Sg	16	det	_	_
16	Laterne	Laterne	N	NN	Fem|Dat|Sg	14	pn	_	_
17	und	und	K	KON	_	16	kon	_	_
18	einem	eine	A	ART	Indef|Masc|Dat|Sg	19	det	1037	1037
19	Korb	Korb	N	NN	Masc|Dat|Sg	17	cj	1037	1037
20	voll	voll	P	APPR	_	19	pp	1037	1037
21	Flaschen	Flasche	N	NN	Fem|_|Pl	20	pn	1073	1073
22	eben	eben	A	ADV	_	21	adv	1037	1037
23	aus	aus	P	APPR	Dat	28	pp	_	_
24	der	die	A	ART	Def|Fem|Dat|Sg	25	det	_	_
25	Kellertiefe	Kellertiefe	N	NN	Fem|Dat|Sg	23	pn	_	_
26	und	und	K	KON	_	25	kon	_	_
27	-tür	Tür	N	NN	Fem|Dat|Sg	26	cj	766	766
28	emporsteigend	emporsteigen	A	ADJD	_|<PPRES	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Halt	Halt	N	NN	Masc|_|Sg	0	root	_	_
3	mal	mal	A	ADV	_	5	adv	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	_	_
5	Licht	Licht	N	NN	Neut|_|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	Junge	Junge	N	NN	_|_|_	5	app	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	767	767
12	,	,	$	$,	_	0	root	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	0	root	768	768
14	die	die	A	ART	Def|_|_|_	0	root	_	_
15	Laterne	Laterne	N	NN	Fem|Dat|Sg	16	objd	_	_
16	reichend	reichen	A	ADJD	_|<PPRES	23	adv	_	_
17	und	und	K	KON	_	16	kon	_	_
18	mit	mit	P	APPR	Dat	17	cj	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	21	det	_	_
20	freigewordenen	freigeworden	A	ADJA	Pos|Fem|Dat|Sg|Wk|	21	attr	_	_
21	Hand	Hand	N	NN	Fem|Dat|Sg	18	pn	_	_
22	meinen	meine	A	PPOSAT	Masc|_|_	23	det	768	768
23	Begleiter	Begleiter	N	NN	Masc|_|_	0	root	_	_
24	am	an	P	APPRART	Dat	23	pp	_	_
25	Oberarm	Oberarm	N	NN	Masc|Dat|Sg	24	pn	_	_
26	packend	packend	A	ADJD	_|_	0	root	_	_
27	und	und	K	KON	_	0	root	_	_
28	ihn	er	P	PPER	3|Sg|Masc|Acc	27	cj	767	767
29	unter	unter	P	APPR	_	28	pp	_	_
30	dem	die	A	ART	Def|_|Dat|Sg	31	det	769	769
31	Tor	Tor	N	NN	_|Dat|Sg	32	objd	769	769
32	festhaltend	festhalten	A	ADJD	_|<PPRES	29	pn	_	_
33	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ärger	Ärger	N	NN	Masc|_|Sg	0	root	_	_
3	denn	denn	K	KOKOM	_	2	kom	_	_
4	je	je	A	ADV	_	3	cj	_	_
5	!	!	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PWS	Neut|_|Sg	4	obja	_	_
4	meint	meinen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
5	Ihr	ihr	P	PPER	2|Pl|_|Nom	4	subj	765	765
6	,	,	$	$,	_	0	root	_	_
7	Doktor	Doktor	N	NN	Masc|Nom|Sg	5	app	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ganz	ganz	A	ADV	_	0	root	_	_
3	wie	wie	P	PWAV	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	768	768
5	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
6	mir	ich	P	PRF	1|Sg|Dat	7	objd	_	_
7	gedacht	denken	V	VVPP	_	8	aux	_	_
8	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	grinsend	grinsen	A	ADJD	_|<PPRES	11	adv	_	_
13	Freund	Freund	N	NN	Fem|Nom|Sg	11	subj	_	_
14	Asche	Asch	N	NN	Fem|Nom|Sg	13	app	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	Gott	Gott	N	NN	Masc|Nom|Sg	5	subj	157	157
5	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
6	Dank	Dank	N	NN	Masc|Dat|Sg	5	objd	267	267
7	immer	immer	A	ADV	_	5	adv	_	_
8	eine	eine	A	ART	Indef|Fem|Nom|Sg	10	det	76	76
9	nahrhafte	nahrhaft	A	ADJA	Pos|Fem|Nom|Sg|_|	10	attr	76	76
10	Hütte	Hütte	N	NN	Fem|Nom|Sg	5	pred	76	76
11	,	,	$	$,	_	0	root	76	76
12	Vater	Vater	N	NN	Masc|Nom|Sg	10	app	76	76
13	Pfister	Pfister	N	NE	Masc|Nom|Sg	12	app	76	76
14	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	770	770
2	Vogel	Vogel	N	NN	Masc|Nom|Sg	3	subj	770	770
3	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	vollkommen	vollkommen	A	ADJD	Pos|	3	adv	_	_
5	in	in	P	APPR	Acc	3	objp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
7	heutigen	heutig	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	_	_
8	Abend	Abend	N	NN	Masc|Acc|Sg	5	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	3	kon	_	_
11	wenn	wenn	K	KOUS	_	14	konj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	768	768
13	sagen	sagen	V	VVINF	_	14	aux	_	_
14	würde	werden	V	VAFIN	1|Sg|Past|Subj	28	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	daß	daß	K	KOUS	_	25	konj	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	601	601
18	nicht	nicht	P	PTKNEG	_	24	adv	_	_
19	auf	auf	P	APPR	Acc	24	pp	_	_
20	ihn	er	P	PPER	3|Sg|Masc|Acc	19	pn	770	770
21	in	in	P	APPR	Dat	24	pp	_	_
22	der	die	A	ART	Def|Fem|Dat|Sg	23	det	_	_
23	Bratpfanne	Bratpfanne	N	NN	Fem|Dat|Sg	21	pn	_	_
24	gerechnet	rechnen	V	VVPP	_	25	aux	_	_
25	hätte	haben	V	VAFIN	1|Sg|Past|Subj	13	objc	_	_
26	,	,	$	$,	_	0	root	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	löge	lügen	V	VVFIN	1|Sg|Past|Subj	10	cj	_	_
29	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	768	768
30	.	.	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sapperment	Sapperment	N	NE	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	meine	meinen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	768	768
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	771	771
7	Geruch	Geruch	N	NN	Masc|Acc|Sg	4	obja	771	771
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	brummte	brummen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	13	det	601	601
12	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	13	attr	601	601
13	Herr	Herr	N	NN	Masc|Nom|Sg	10	subj	601	601
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	in	in	P	APPR	Dat	3	pp	_	_
5	diesem	diese	A	PDAT	_|Dat|Sg	6	det	_	_
6	Ärgernis	Ärgernis	N	NN	_|Dat|Sg	4	pn	_	_
7	von	von	P	APPR	_	6	pp	_	_
8	Gedünsten	Gedünsten	N	NE	_|_|_	7	pn	772	772
