1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	31	31
15	«	«	$	$(	_	0	root	_	_
16	Er	er	P	PPER	3|Sg|Masc|Nom	17	subj	15	15
17	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
18	inne	inne	P	PTKVZ	_	17	avz	_	_
19	und	und	K	KON	_	17	kon	_	_
20	paffte	paffen	V	VVFIN	_|Sg|Past|_	19	cj	_	_
21	ein	eine	A	ART	Indef|_|_|Sg	24	det	_	_
22	paar	paar	A	PIDAT	Fem|_|Pl	24	attr	_	_
23	dicke	dick	A	ADJA	Pos|Fem|_|Pl|St|	24	attr	_	_
24	Rauchwolken	Rauchwolke	N	NN	Fem|_|Pl	20	obja	_	_
25	vor	vor	P	APPR	_	20	pp	_	_
26	sich	sie	P	PRF	3|_|_	25	pn	_	_
27	hin	hin	A	APZR	_	25	part	_	_
28	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	dann	dann	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	Nachbar	Nachbar	N	NN	_|_|Sg	0	root	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	5	5
10	Frau	Frau	N	NN	Fem|Nom|Sg	8	subj	5	5
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dann	dann	A	ADV	_	7	adv	_	_
3	-	-	$	$(	_	0	root	_	_
4	-	-	$	$(	_	0	root	_	_
5	dann	dann	A	ADV	_	2	par	_	_
6	-	-	$	$(	_	0	root	_	_
7	zum	zu	P	APPRART	Dat	0	root	_	_
8	Teufel	Teufel	N	NN	Masc|Dat|Sg	7	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	ja	ja	P	PTKANT	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	dann	dann	A	ADV	_	13	adv	_	_
13	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	16	s	_	_
14	Euer	eure	A	PPOSAT	_|Nom|Sg	15	det	_	_
15	Andrees	Andrees	N	NN	_|Nom|Sg	13	subj	_	_
16	meine	meinen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
17	Maren	Maren	N	NE	Fem|Nom|Sg	16	subj	41	41
18	freien	frei	A	ADJA	Pos|_|_|_|_|	0	root	_	_
19	!	!	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	37	37
3	Augenblicke	Augenblick	N	NN	Masc|Dat|Sg	1	pn	37	37
4	öffnete	öffnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	38	38
7	Tür	Tür	N	NN	Fem|Nom|Sg	4	subj	38	38
8	des	die	A	ART	Def|Neut|Gen|Sg	9	det	46	46
9	Wohnzimmers	Wohnzimmer	N	NN	Neut|Gen|Sg	7	gmod	38	38
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	ein	eine	A	ART	Indef|Neut|_|Sg	15	det	48	48
13	schönes	schön	A	ADJA	Pos|Neut|_|Sg|St|	15	attr	48	48
14	schlankes	schlank	A	ADJA	Pos|Neut|_|Sg|St|	15	attr	48	48
15	Mädchen	Mädchen	N	NN	Neut|_|Sg	11	cj	48	48
16	mit	mit	P	APPR	Dat	15	pp	48	48
17	rehbraunen	rehbraun	A	ADJA	Pos|Neut|Dat|Pl|_|	18	attr	48	48
18	Augen	Auge	N	NN	Neut|Dat|Pl	16	pn	48	48
19	tret	tret	N	NE	Neut|Dat|Pl	18	app	48	48
20	zu	zu	P	APPR	Dat	19	pp	48	48
21	ihm	er	P	PPER	3|Sg|_|Dat	20	pn	3	3
22	auf	auf	P	APPR	Acc	21	pp	_	_
23	die	die	A	ART	Def|Fem|Acc|Sg	24	det	_	_
24	Durchfahrt	Durchfahrt	N	NN	Fem|Acc|Sg	22	pn	_	_
25	hinaus	hinaus	P	PTKVZ	_	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Topp	Topp	N	NN	Masc|_|Sg	7	vok	_	_
3	,	,	$	$,	_	0	root	_	_
4	Vater	Vater	N	NN	Masc|_|Sg	2	app	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	38	38
9	aus	aus	P	PTKVZ	_	7	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	das	die	P	PDS	Neut|Nom|Sg	13	subj	_	_
13	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
14	gelten	gelten	V	VVINF	_	13	aux	_	_
15	!	!	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_
17	Und	und	K	KON	_	0	root	_	_
18	zu	zu	P	APPR	Dat	22	pp	_	_
19	einem	eine	A	ART	Indef|Masc|Dat|Sg	21	det	39	39
20	ältlichen	ältlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	21	attr	39	39
21	Manne	Mann	N	NN	Masc|Dat|Sg	18	pn	39	39
22	gewandt	gewandt	V	VVPP	_	17	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	der	die	P	PRELS	Masc|Nom|Sg	32	subj	39	39
25	eben	eben	A	ADV	_	32	adv	_	_
26	von	von	P	APPR	_	32	pp	_	_
27	der	die	A	ART	Def|_|_|_	28	det	309	309
28	Straße	Straß	N	NN	_|_|_	26	pn	309	309
29	her	her	A	ADV	_	28	adv	309	309
30	ins	in	P	APPRART	Acc	32	objp	_	_
31	Haus	Haus	N	NN	Neut|Acc|Sg	30	pn	40	40
32	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	fügte	fügen	V	VVFIN	3|Sg|Past|_	0	root	_	_
35	sie	sie	P	PPER	3|Sg|Fem|Nom	34	subj	38	38
36	hinzu	hinzu	P	PTKVZ	_	34	avz	_	_
37	:	\:	$	$.	_	0	root	_	_
38	»	»	$	$(	_	0	root	_	_
39	Ihr	ihr	P	PPER	2|Pl|_|Nom	40	subj	44	44
40	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
41	'	'	$	$(	_	0	root	_	_
42	s	s	P	PPER	_|_|_|Dat	43	objd	38	38
43	gehört	gehören	V	VVPP	_	40	aux	_	_
44	,	,	$	$,	_	0	root	_	_
45	Vetter	Vetter	N	NE	_|_|Sg	40	vok	43	43
46	Schulze	Schulze	N	NE	_|_|Sg	45	app	43	43
47	!	!	$	$.	_	0	root	_	_
48	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	nun	nun	A	ADV	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Maren	Maren	N	NE	Fem|_|Sg	0	root	41	41
7	«	«	$	$(	_	0	root	41	41
8	,	,	$	$,	_	0	root	41	41
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	6	par	41	41
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	0	0
11	Wiesenbauer	Wiesenbauer	N	NN	Masc|Nom|Sg	9	subj	0	0
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	du	du	P	PPER	2|Sg|_|Nom	15	subj	42	42
15	brauchst	brauchen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
16	keine	keine	A	PIAT	Masc|_|Pl	17	det	_	_
17	Zeugen	Zeug	N	NN	Masc|_|Pl	15	obja	_	_
18	gegen	gegen	P	APPR	Acc	15	pp	_	_
19	deinen	deine	A	PPOSAT	Masc|Acc|Sg	20	det	42	42
20	Vater	Vater	N	NN	Masc|Acc|Sg	18	pn	89	89
21	aufzurufen	aufrufen	V	VVIZU	_	15	obji	_	_
22	;	;	$	$.	_	0	root	_	_
23	von	von	P	APPR	Dat	27	pp	_	_
24	meinem	meine	A	PPOSAT	Neut|Dat|Sg	25	det	_	_
25	Wort	Wort	N	NN	Neut|Dat|Sg	23	pn	_	_
26	da	da	A	ADV	_	25	adv	_	_
27	beißt	beißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
28	dir	du	P	PPER	2|Sg|_|Dat	27	objd	42	42
29	keine	keine	A	PIAT	Fem|Nom|Sg	30	det	_	_
30	Maus	Maus	N	NN	Fem|Nom|Sg	27	subj	_	_
31	auch	auch	A	ADV	_	27	adv	_	_
32	nur	nur	A	ADV	_	27	adv	_	_
33	ein	eine	A	ART	Indef|Neut|_|Sg	34	det	_	_
34	Titelchen	Titelchen	N	NN	Neut|_|Sg	27	obja	_	_
35	ab	ab	P	PTKVZ	_	27	avz	_	_
36	.	.	$	$.	_	0	root	_	_
37	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	43	43
2	Schulze	Schulze	N	NN	Masc|Nom|Sg	3	subj	43	43
3	schaute	schauen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	indes	indes	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	auf	auf	P	APPR	_	10	objp	_	_
7	seinen	seine	A	PPOSAT	Masc|_|Sg	9	det	43	43
8	langen	lang	A	ADJA	Pos|Masc|_|Sg|_|	9	attr	_	_
9	Stock	Stock	N	NN	Masc|_|Sg	6	pn	_	_
10	gestützt	stützen	V	VVPP	_	3	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	eine	eine	A	ART	Indef|Fem|_|Sg	13	det	_	_
13	Weile	Weile	N	NN	Fem|_|Sg	14	grad	_	_
14	in	in	P	APPR	Acc	10	pp	_	_
15	den	die	A	ART	Def|Masc|Acc|Sg	17	det	_	_
16	freien	frei	A	ADJA	Pos|Masc|Acc|Sg|_|	17	attr	_	_
17	Tag	Tag	N	NN	Masc|Acc|Sg	14	pn	_	_
18	hinaus	hinaus	P	PTKVZ	_	0	root	_	_
19	;	;	$	$.	_	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	hatte	haben	V	VAFIN	3|Sg|Past|Ind	20	cj	_	_
22	nun	nun	A	ADV	_	21	adv	_	_
23	sein	seine	A	PPOSAT	Neut|Nom|Sg	25	det	43	43
24	schärferes	scharf	A	ADJA	Comp|Neut|Nom|Sg|St|	25	attr	_	_
25	Auge	Auge	N	NN	Neut|Nom|Sg	21	subj	_	_
26	in	in	P	APPR	Dat	21	pp	_	_
27	der	die	A	ART	Def|Fem|Dat|Sg	28	det	225	225
28	Tiefe	Tiefe	N	NN	Fem|Dat|Sg	26	pn	225	225
29	des	die	A	ART	Def|Masc|Gen|Sg	31	det	165	165
30	glühenden	glühend	A	ADJA	Pos|Masc|Gen|Sg|_|<PPRES	31	attr	165	165
31	Himmels	Himmel	N	NN	Masc|Gen|Sg	28	gmod	165	165
32	ein	eine	A	ART	Indef|Neut|_|Sg	34	det	_	_
33	weißes	weiß	A	ADJA	Pos|Neut|_|Sg|St|	34	attr	_	_
34	Pünktchen	Pünktchen	N	NN	Neut|_|Sg	21	obja	_	_
35	schwimmen	schwimmen	V	VVINF	_	36	aux	_	_
36	sehen	sehen	V	VVINF	_	0	root	_	_
37	,	,	$	$,	_	0	root	_	_
38	oder	oder	K	KON	_	0	root	_	_
39	wünschte	wünschen	V	VVFIN	3|Sg|Past|_	38	cj	_	_
40	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	43	43
41	es	es	P	PPER	3|Sg|Neut|_	39	obja	_	_
42	nur	nur	A	ADV	_	39	adv	_	_
43	und	und	K	KON	_	39	kon	_	_
44	glaubte	glauben	V	VVFIN	_|Sg|Past|_	43	cj	_	_
45	es	es	P	PPER	3|Sg|Neut|_	44	expl	_	_
46	deshalb	deshalb	P	PROAV	_	44	pp	_	_
47	gesehen	sehen	V	VVPP	_	49	aux	_	_
48	zu	zu	P	PTKZU	_	49	part	_	_
49	haben	haben	V	VAINF	_	44	obji	_	_
50	,	,	$	$,	_	0	root	_	_
51	aber	aber	K	KON	_	44	kon	_	_
52	er	er	P	PPER	3|Sg|Masc|Nom	53	subj	43	43
53	lächelte	lächeln	V	VVFIN	3|Sg|Past|_	51	cj	_	_
54	hinterhältig	hinterhältig	A	ADJD	Pos|	53	adv	_	_
55	und	und	K	KON	_	53	kon	_	_
56	sagte	sagen	V	VVFIN	_|Sg|Past|_	55	cj	_	_
57	:	\:	$	$.	_	0	root	_	_
58	»	»	$	$(	_	0	root	_	_
59	Mög	Mög	F	FM	_	0	root	_	_
60	'	'	$	$(	_	0	root	_	_
61	s	s	P	PPER	_	0	root	8	8
62	Euch	ihr	P	PPER	2|Pl|_|_	63	obja	44	44
63	bekommen	bekommen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
64	,	,	$	$,	_	0	root	_	_
65	Vetter	Vetter	N	NE	_	0	root	_	_
66	Wiesenbauer	Wiesenbauer	N	NN	_	65	app	_	_
67	,	,	$	$,	_	0	root	_	_
68	der	die	A	ART	Def|Masc|Nom|Sg	69	det	45	45
69	Andrees	Andrees	N	NN	Masc|Nom|Sg	70	subj	45	45
70	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
71	allewege	allewege	N	NE	_|Dat|_	70	objd	312	312
72	ein	eine	A	ART	Indef|Masc|Nom|Sg	74	det	_	_
73	tüchtiger	tüchtig	A	ADJA	Pos|Masc|Nom|Sg|St|	74	attr	_	_
74	Bursch	Bursch	N	NN	Masc|Nom|Sg	70	pred	_	_
75	!	!	$	$.	_	0	root	_	_
76	«	«	$	$(	_	0	root	_	_

1	Bald	bald	A	ADV	_	2	adv	_	_
2	darauf	darauf	P	PROAV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	während	während	K	KOUS	_	18	konj	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	0	0
6	Wiesenbauer	Wiesenbauer	N	NN	Masc|Nom|Sg	18	subj	0	0
7	und	und	K	KON	_	6	kon	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	43	43
9	Schulze	Schulze	N	NN	Masc|Nom|Sg	7	cj	43	43
10	in	in	P	APPR	Dat	18	pp	_	_
11	dem	die	A	ART	Def|Neut|Dat|Sg	12	det	46	46
12	Wohnzimmer	Wohnzimmer	N	NN	Neut|Dat|Sg	10	pn	46	46
13	des	die	A	ART	Def|_|Gen|Sg	14	part	_	_
14	erstern	erstere	P	PIS	_|_|_	15	grad	_	_
15	über	über	P	APPR	_	18	pp	_	_
16	allerlei	allerlei	A	PIAT	Fem|_|Pl	17	det	_	_
17	Rechnungen	Rechnung	N	NN	Fem|_|Pl	15	pn	_	_
18	beisammensaßen	beisammensitzen	V	VVFIN	_|Pl|Past|Ind	20	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
21	Maren	Maren	N	NE	Fem|Nom|Sg	20	subj	41	41
22	an	an	P	APPR	Dat	20	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	25	det	_	_
24	andern	andern	A	ADJA	_|Fem|Dat|Sg|_	25	attr	_	_
25	Seite	Seite	N	NN	Fem|Dat|Sg	22	pn	_	_
26	der	die	A	ART	Def|_|Gen|_	27	det	_	_
27	Dorfstraße	Dorfstraße	N	NN	_|Gen|_	25	gmod	_	_
28	mit	mit	P	APPR	Dat	20	pp	_	_
29	Mutter	Mutter	N	NN	Fem|Dat|Sg	28	pn	14	14
30	Stine	Stine	N	NE	Fem|Dat|Sg	29	app	14	14
31	in	in	P	APPR	_	20	objp	_	_
32	deren	die	A	PDAT	Neut|_|_	33	det	_	_
33	Stübchen	Stübchen	N	NN	Neut|_|_	31	pn	_	_
34	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	Kind	Kind	N	NN	Neut|_|Sg	2	cj	55	55
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	sagte	sagen	V	VVFIN	3|Sg|Past|_	20	s	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	17	17
8	Witwe	Witwe	N	NN	Fem|Nom|Sg	6	subj	17	17
9	,	,	$	$,	_	0	root	_	_
10	indem	indem	K	KOUS	_	17	konj	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	17	subj	17	17
12	ihr	ihre	A	PPOSAT	Neut|_|Sg	13	det	17	17
13	Spinnrad	Spinnrad	N	NN	Neut|_|Sg	17	obja	_	_
14	aus	aus	P	APPR	Dat	17	pp	_	_
